"group" "Importance"
1 18.995011
1 14.518150
1 11.288947
1 14.776834
1 4.226039
1 7.923616
1 16.833895
1 10.247115
1 16.321440
1 14.688765
1 6.838059
1 16.748947
1 11.908603
1 15.009120
1 5.479981
1 5.486020
1 12.360655
1 11.258361
1 7.893652
1 16.196788
2 15.521658
2 13.855451
2 9.572496
2 7.785560
2 6.398078
2 6.403653
2 5.773963
2 12.873165
2 9.765730
2 11.413392
2 12.468512
2 6.116354
2 12.918091
2 10.287023
2 4.680444
2 4.600844
2 8.528198
2 18.271799
2 10.871225
2 6.894366
3 13.918426
3 5.183525
3 6.201857
3 6.020905
3 11.045194
3 11.834434
3 10.744327
3 14.462343
3 13.169720
3 5.735885
3 12.959702
3 9.405023
3 10.012314
3 8.514647
3 6.791720
3 9.834999
3 10.893538
3 10.202135
3 5.828048
3 7.680944
3 8.579992
3 7.778958
3 4.620952
3 13.996436
3 2.704535
3 9.962969
3 8.349923
3 6.990106
3 5.777199
3 6.988020
3 5.681225
