"sex" "site" "setting" "viewenc" "age" "peabody" "prenumb" "postnumb" "funumb" "Bb" "Bl" "Bf" "Bn" "Br" "Bc" "Ab" "Al" "Af" "An" "Ar" "Ac"
2 3 1 1 47 45 20 26 46 21 11 4 14 4 8 19 14 12 18 10 15
2 5 1 0 55 63 29 37 37 18 15 6 8 7 9 26 12 12 15 7 10
2 4 2 0 54 60 22 22 6 27 23 14 29 11 18 24 38 15 35 13 17
1 2 2 1 59 85 49 45 44 13 19 9 16 10 9 16 15 6 3 7 8
2 1 1 0 40 17 18 15 32 14 11 8 15 5 11 15 7 8 8 7 10
2 4 2 0 41 43 22 37 68 13 16 5 16 8 11 25 17 6 18 8 6
1 3 1 0 48 34 7 13 28 24 16 11 22 10 14 29 53 19 50 15 22
2 3 1 0 39 17 8 3 9 29 12 14 28 11 15 30 30 19 30 12 20
2 1 1 0 41 75 24 29 47 25 22 16 28 9 15 31 25 16 42 13 22
1 3 1 0 55 53 14 12 39 24 18 14 15 13 17 28 39 18 38 12 21
2 2 1 0 52 66 25 28 16 23 11 9 27 8 13 25 36 17 35 13 19
1 4 1 0 52 51 21 27 52 21 22 15 22 11 14 23 40 19 48 13 21
2 1 2 0 54 40 22 39 41 22 22 15 30 10 17 30 40 18 50 13 18
2 4 1 0 57 58 20 28 26 20 17 10 21 9 15 27 37 17 19 7 15
2 3 1 1 55 26 9 6 12 13 4 8 5 5 3 18 17 10 14 12 11
1 3 1 0 56 49 17 19 48 15 9 10 1 8 4 23 12 17 14 14 9
2 3 2 1 42 43 24 41 43 7 13 6 10 3 8 17 12 12 18 11 10
2 1 1 0 44 36 11 16 23 15 17 11 17 8 10 25 30 15 41 14 18
1 1 2 1 49 44 26 9 46 16 12 10 17 11 15 32 25 16 35 11 14
1 4 2 0 56 38 29 38 41 14 16 3 13 6 7 14 16 9 21 9 6
1 1 1 0 48 34 17 7 20 23 19 11 27 12 9 28 37 17 61 17 22
1 1 2 0 63 48 26 29 16 18 15 7 12 9 13 21 14 11 14 10 9
1 4 2 0 59 35 14 20 26 21 13 11 23 11 12 27 29 20 36 14 28
1 1 1 1 57 78 40 33 56 26 12 10 28 9 12 30 36 19 46 17 19
2 3 1 0 55 59 14 24 46 26 22 15 26 11 12 30 30 16 42 12 16
1 3 1 0 57 25 18 22 34 21 25 13 28 14 18 19 11 8 8 10 11
1 4 1 1 61 52 10 33 8 11 3 9 1 6 9 17 27 11 21 12 17
1 1 2 0 55 36 22 36 43 27 16 14 22 12 14 27 20 10 24 10 12
1 4 2 0 57 57 28 24 12 19 22 7 19 8 12 28 34 15 31 14 17
1 4 1 1 54 21 13 28 51 16 6 4 11 6 4 17 20 8 31 13 8
