"at" "gr"
0.554923857899314 1
3.61678801841584 1
0.807190301461349 1
1.27331734683706 1
2.3898220200454 1
0.191011781812541 1
-0.718525095011834 1
1.50793861757025 1
1.86844917361226 1
1.20228849448637 1
-0.271566640229601 1
-0.558182104356635 1
2.52018115072861 1
-0.671321980746126 1
0.626960790740398 1
-0.705441067492486 1
1.15226019858856 1
1.99396451670319 1
1.60214120340086 1
1.21779941553467 1
-2.06386141353916 2
-0.69568659220535 2
0.68016961518632 2
-4.96146027901223 2
0.168714052992589 2
-0.582071363986609 2
2.55713098716293 2
2.92110321897834 2
-0.599544296891148 2
-2.0333047799953 2
0.758757049820072 2
1.80830851505618 2
-0.572392118018055 2
-2.03289379181746 2
1.59528092328652 2
0.837976033831343 2
2.8758134471 2
0.582498057968874 2
2.1460214572566 2
1.4874492441406 2
-0.249468413860839 2
-1.14711072137442 2
1.24968064520752 2
0.776864993462624 2
-2.84942033819725 2
-0.264643943591048 2
-1.85391018896164 2
3.79615830194794 3
3.30250073422076 3
-0.174745733480067 3
-1.92372790633584 3
2.06540097860601 3
-0.487534031810294 3
1.59306258424663 3
1.54806699804005 3
-0.650487873475548 3
1.02912644480008 3
-0.184394629874619 3
-0.0230695627522219 3
2.63657724214987 3
-0.820372790389366 3
-1.79586574763214 3
-0.245668057880318 3
-1.05049345266128 3
-2.27649392239667 3
0.17028038745596 3
-1.73723129122989 3
-2.13511839921778 3
2.42166701857933 3
-0.184147841171005 3
-1.87939920073448 3
0.476940301026865 3
1.77427453886353 3
2.05958287452359 3
0.255112036580892 3
