"attract" "group"
1.19560212999615 1
0.0585255106781328 1
-1.10092217658961 1
1.78095312326982 1
1.86726943371711 1
1.12279975275111 1
0.658682723294683 1
1.76052194630579 1
5.05042115572329 1
1.32841369488684 1
3.37693806199464 1
3.30926663124537 1
2.13358900409465 1
1.85359216425566 1
1.89282966225372 1
3.74229453023588 1
1.4882410567538 1
2.84023927079106 1
1.3607423243419 1
6.74559004353763 2
3.6775591361691 2
3.22646878878615 2
0.373278658278731 2
2.22882821479472 2
2.33660829915544 2
5.0058696419735 2
3.57043188490986 2
4.50569548033207 2
-0.501215107040292 2
2.7114207238588 2
0.353737909615576 2
4.04765547212351 2
1.4087954933114 2
-1.09900533563492 2
2.13935972878361 2
1.31666784018123 2
3.14087924651969 2
3.07137388034422 2
2.22723960775001 3
0.662897617273591 3
-3.43087271781711 3
1.49625069500097 3
-0.530913169099123 3
2.61388716859506 3
-2.35092583229163 3
1.08935723511699 3
-0.234840187003169 3
-0.336224532304931 3
4.91640622515378 3
-0.572757143387336 3
0.708590297717381 3
0.437678247763488 3
1.46354635895855 3
2.73140252340473 3
0.656939412266006 3
-1.86778092397279 3
-1.51626277419399 3
-3.24078835866134 3
-3.62676290068566 3
-3.91140221082612 3
0.633230570178002 3
-2.50236659800725 3
3.3041959287946 3
-2.91090809916642 3
-1.21203775011066 3
3.39454047768619 3
2.48868083186817 3
